Test Instance,Cost,CPU Time
test_instances/test_0.txt,34,0.002
test_instances/test_1.txt,22,0.002
test_instances/test_10.txt,35,0.005
test_instances/test_11.txt,30,0.000
test_instances/test_12.txt,36,0.000
test_instances/test_13.txt,39,0.009
test_instances/test_14.txt,31,0.000
test_instances/test_15.txt,30,0.001
test_instances/test_16.txt,34,0.001
test_instances/test_17.txt,45,0.990
test_instances/test_18.txt,21,0.001
test_instances/test_19.txt,28,0.000
test_instances/test_2.txt,31,0.003
test_instances/test_20.txt,28,0.002
test_instances/test_21.txt,33,0.002
test_instances/test_22.txt,36,0.001
test_instances/test_23.txt,42,0.006
test_instances/test_24.txt,41,0.000
test_instances/test_3.txt,41,79.746
test_instances/test_4.txt,26,0.001
test_instances/test_5.txt,26,0.000
test_instances/test_6.txt,44,0.155
test_instances/test_7.txt,29,0.002
test_instances/test_8.txt,32,0.003
test_instances/test_9.txt,25,0.003
