Test Instance,High-Level Solver,Low-Level Solver,Cost,CPU Time,# Expanded,# Generated,# in Open-List at Max
instances_high_agents_high_density\test_0.txt,CBS,A*,32,0.001,3,5,3
instances_high_agents_high_density\test_1.txt,CBS,A*,44,0.002,7,13,7
instances_high_agents_high_density\test_10.txt,CBS,A*,48,0.012,15,29,15
instances_high_agents_high_density\test_11.txt,CBS,A*,50,0.011,17,33,17
instances_high_agents_high_density\test_12.txt,CBS,A*,24,0.001,2,3,2
instances_high_agents_high_density\test_13.txt,CBS,A*,57,0.036,15,29,15
instances_high_agents_high_density\test_14.txt,CBS,A*,43,0.042,53,105,53
instances_high_agents_high_density\test_15.txt,CBS,A*,33,0.002,4,7,4
instances_high_agents_high_density\test_16.txt,CBS,A*,40,0.203,231,461,231
instances_high_agents_high_density\test_17.txt,CBS,A*,34,0.002,5,9,5
instances_high_agents_high_density\test_18.txt,CBS,A*,31,0.001,3,5,3
instances_high_agents_high_density\test_19.txt,CBS,A*,37,0.004,5,9,5
instances_high_agents_high_density\test_2.txt,CBS,A*,34,0.06,59,117,59
instances_high_agents_high_density\test_20.txt,CBS,A*,35,0.002,5,9,5
instances_high_agents_high_density\test_21.txt,CBS,A*,23,0.004,8,15,8
instances_high_agents_high_density\test_22.txt,CBS,A*,49,0.005,13,25,13
instances_high_agents_high_density\test_23.txt,CBS,A*,26,0.006,13,25,13
instances_high_agents_high_density\test_24.txt,CBS,A*,65,0.021,16,31,16
instances_high_agents_high_density\test_3.txt,CBS,A*,38,0.045,77,153,77
instances_high_agents_high_density\test_4.txt,CBS,A*,37,0.001,4,7,4
instances_high_agents_high_density\test_5.txt,CBS,A*,31,0.013,29,57,29
instances_high_agents_high_density\test_6.txt,CBS,A*,33,0.002,5,9,5
instances_high_agents_high_density\test_7.txt,CBS,A*,36,0.002,4,7,4
instances_high_agents_high_density\test_8.txt,CBS,A*,36,0.002,6,11,6
instances_high_agents_high_density\test_9.txt,CBS,A*,33,0,2,3,2
instances_high_agents_high_density\test_0.txt,CBS,LA*,32,0.002,3,5,3
instances_high_agents_high_density\test_1.txt,CBS,LA*,44,0.006,7,13,7
instances_high_agents_high_density\test_10.txt,CBS,LA*,48,0.034,15,29,15
instances_high_agents_high_density\test_11.txt,CBS,LA*,50,0.021,17,33,17
instances_high_agents_high_density\test_12.txt,CBS,LA*,24,0.001,2,3,2
instances_high_agents_high_density\test_13.txt,CBS,LA*,57,0.065,15,29,15
instances_high_agents_high_density\test_14.txt,CBS,LA*,43,0.067,53,105,53
instances_high_agents_high_density\test_15.txt,CBS,LA*,33,0.005,4,7,4
instances_high_agents_high_density\test_16.txt,CBS,LA*,40,0.332,231,461,231
instances_high_agents_high_density\test_17.txt,CBS,LA*,34,0.003,5,9,5
instances_high_agents_high_density\test_18.txt,CBS,LA*,31,0.002,3,5,3
instances_high_agents_high_density\test_19.txt,CBS,LA*,37,0.007,5,9,5
instances_high_agents_high_density\test_2.txt,CBS,LA*,34,0.105,59,117,59
instances_high_agents_high_density\test_20.txt,CBS,LA*,35,0.004,5,9,5
instances_high_agents_high_density\test_21.txt,CBS,LA*,23,0.009,8,15,8
instances_high_agents_high_density\test_22.txt,CBS,LA*,49,0.012,13,25,13
instances_high_agents_high_density\test_23.txt,CBS,LA*,26,0.01,13,25,13
instances_high_agents_high_density\test_24.txt,CBS,LA*,65,0.033,16,31,16
instances_high_agents_high_density\test_3.txt,CBS,LA*,38,0.087,77,153,77
instances_high_agents_high_density\test_4.txt,CBS,LA*,37,0.003,4,7,4
instances_high_agents_high_density\test_5.txt,CBS,LA*,31,0.02,29,57,29
instances_high_agents_high_density\test_6.txt,CBS,LA*,33,0.003,5,9,5
instances_high_agents_high_density\test_7.txt,CBS,LA*,36,0.002,4,7,4
instances_high_agents_high_density\test_8.txt,CBS,LA*,36,0.004,6,11,6
instances_high_agents_high_density\test_9.txt,CBS,LA*,33,0.001,2,3,2
instances_high_agents_high_density\test_0.txt,CBS,AL*,32,0.113,3,5,3
instances_high_agents_high_density\test_1.txt,CBS,AL*,44,0.356,7,13,7
instances_high_agents_high_density\test_10.txt,CBS,AL*,48,2.419,18,35,18
instances_high_agents_high_density\test_11.txt,CBS,AL*,50,0.856,17,33,17
instances_high_agents_high_density\test_12.txt,CBS,AL*,24,0.081,2,3,2
instances_high_agents_high_density\test_13.txt,CBS,AL*,57,4.061,15,29,15
instances_high_agents_high_density\test_14.txt,CBS,AL*,43,8.496,53,105,53
instances_high_agents_high_density\test_15.txt,CBS,AL*,33,0.304,4,7,4
instances_high_agents_high_density\test_16.txt,CBS,AL*,40,36.524,236,471,236
instances_high_agents_high_density\test_17.txt,CBS,AL*,34,0.212,5,9,5
instances_high_agents_high_density\test_18.txt,CBS,AL*,31,0.098,3,5,3
instances_high_agents_high_density\test_19.txt,CBS,AL*,37,0.56,5,9,5
instances_high_agents_high_density\test_2.txt,CBS,AL*,34,10.855,57,113,57
instances_high_agents_high_density\test_20.txt,CBS,AL*,35,0.284,5,9,5
instances_high_agents_high_density\test_21.txt,CBS,AL*,23,0.922,8,15,8
instances_high_agents_high_density\test_22.txt,CBS,AL*,49,0.765,13,25,13
instances_high_agents_high_density\test_23.txt,CBS,AL*,26,0.48,12,23,12
instances_high_agents_high_density\test_24.txt,CBS,AL*,65,2.141,16,31,16
instances_high_agents_high_density\test_3.txt,CBS,AL*,38,4.506,73,145,73
instances_high_agents_high_density\test_4.txt,CBS,AL*,37,0.163,4,7,4
instances_high_agents_high_density\test_5.txt,CBS,AL*,31,1.85,29,57,29
instances_high_agents_high_density\test_6.txt,CBS,AL*,33,0.291,5,9,5
instances_high_agents_high_density\test_7.txt,CBS,AL*,36,0.252,4,7,4
instances_high_agents_high_density\test_8.txt,CBS,AL*,36,0.305,6,11,6
instances_high_agents_high_density\test_9.txt,CBS,AL*,33,0.102,2,3,2
instances_high_agents_high_density\test_0.txt,CBS,IDA*,32,0.001,4,7,4
instances_high_agents_high_density\test_1.txt,CBS,IDA*,44,0.118,3,5,3
instances_high_agents_high_density\test_10.txt,CBS,IDA*,48,5.433,34,67,34
instances_high_agents_high_density\test_11.txt,CBS,IDA*,50,0.007,14,27,14
instances_high_agents_high_density\test_12.txt,CBS,IDA*,24,0.001,2,3,2
instances_high_agents_high_density\test_13.txt,CBS,IDA*,0,3600,3,4,2
instances_high_agents_high_density\test_14.txt,CBS,IDA*,43,2.883,30,59,30
instances_high_agents_high_density\test_15.txt,CBS,IDA*,33,0.008,4,7,4
instances_high_agents_high_density\test_16.txt,CBS,IDA*,40,4.764,115,229,115
instances_high_agents_high_density\test_17.txt,CBS,IDA*,34,0.001,3,5,3
instances_high_agents_high_density\test_18.txt,CBS,IDA*,31,0.004,5,9,5
instances_high_agents_high_density\test_19.txt,CBS,IDA*,37,11.53,19,37,19
instances_high_agents_high_density\test_2.txt,CBS,IDA*,34,24.965,121,241,121
instances_high_agents_high_density\test_20.txt,CBS,IDA*,35,0,1,1,1
instances_high_agents_high_density\test_21.txt,CBS,IDA*,23,0.01,8,15,8
instances_high_agents_high_density\test_22.txt,CBS,IDA*,49,0.024,37,73,37
instances_high_agents_high_density\test_23.txt,CBS,IDA*,26,0.003,6,11,6
instances_high_agents_high_density\test_24.txt,CBS,IDA*,0,3600,5,8,4
instances_high_agents_high_density\test_3.txt,CBS,IDA*,38,0.204,31,61,31
instances_high_agents_high_density\test_4.txt,CBS,IDA*,37,0.009,16,31,16
instances_high_agents_high_density\test_5.txt,CBS,IDA*,31,0.068,34,67,34
instances_high_agents_high_density\test_6.txt,CBS,IDA*,33,0.001,3,5,3
instances_high_agents_high_density\test_7.txt,CBS,IDA*,36,0.073,3,5,3
instances_high_agents_high_density\test_8.txt,CBS,IDA*,36,0.002,4,7,4
instances_high_agents_high_density\test_9.txt,CBS,IDA*,33,0.001,1,1,1
instances_high_agents_high_density\test_0.txt,ICTS,A*,32,0.011,9,11,3
instances_high_agents_high_density\test_1.txt,ICTS,A*,44,0.022,10,12,3
instances_high_agents_high_density\test_10.txt,ICTS,A*,48,1.479,137,229,77
instances_high_agents_high_density\test_11.txt,ICTS,A*,50,0.969,118,239,111
instances_high_agents_high_density\test_12.txt,ICTS,A*,24,0.01,7,7,1
instances_high_agents_high_density\test_13.txt,ICTS,A*,57,120.06,879,1217,275
instances_high_agents_high_density\test_14.txt,ICTS,A*,43,0.449,66,121,41
instances_high_agents_high_density\test_15.txt,ICTS,A*,33,0.007,10,12,3
instances_high_agents_high_density\test_16.txt,ICTS,A*,40,35.905,1039,1688,515
instances_high_agents_high_density\test_17.txt,ICTS,A*,34,0.006,8,8,1
instances_high_agents_high_density\test_18.txt,ICTS,A*,31,0.007,11,16,5
instances_high_agents_high_density\test_19.txt,ICTS,A*,37,0.026,14,23,10
instances_high_agents_high_density\test_2.txt,ICTS,A*,34,14.854,452,802,300
instances_high_agents_high_density\test_20.txt,ICTS,A*,35,0.008,9,9,1
instances_high_agents_high_density\test_21.txt,ICTS,A*,23,0.013,12,15,4
instances_high_agents_high_density\test_22.txt,ICTS,A*,49,0.098,20,39,15
instances_high_agents_high_density\test_23.txt,ICTS,A*,26,0.01,16,24,9
instances_high_agents_high_density\test_24.txt,ICTS,A*,65,1.483,115,237,80
instances_high_agents_high_density\test_3.txt,ICTS,A*,38,0.087,43,68,19
instances_high_agents_high_density\test_4.txt,ICTS,A*,37,0.009,12,15,4
instances_high_agents_high_density\test_5.txt,ICTS,A*,31,0.29,85,190,86
instances_high_agents_high_density\test_6.txt,ICTS,A*,33,0.013,9,9,1
instances_high_agents_high_density\test_7.txt,ICTS,A*,36,0.007,8,8,1
instances_high_agents_high_density\test_8.txt,ICTS,A*,36,0.026,21,38,16
instances_high_agents_high_density\test_9.txt,ICTS,A*,33,0.006,8,8,1
instances_high_agents_high_density\test_0.txt,ICTS,LA*,32,0.01,9,11,3
instances_high_agents_high_density\test_1.txt,ICTS,LA*,44,0.012,10,12,3
instances_high_agents_high_density\test_10.txt,ICTS,LA*,48,1.089,137,229,77
instances_high_agents_high_density\test_11.txt,ICTS,LA*,50,0.671,118,239,111
instances_high_agents_high_density\test_12.txt,ICTS,LA*,24,0.004,7,7,1
instances_high_agents_high_density\test_13.txt,ICTS,LA*,57,160.39,879,1217,275
instances_high_agents_high_density\test_14.txt,ICTS,LA*,43,0.598,66,121,41
instances_high_agents_high_density\test_15.txt,ICTS,LA*,33,0.007,10,12,3
instances_high_agents_high_density\test_16.txt,ICTS,LA*,40,28.951,1039,1688,515
instances_high_agents_high_density\test_17.txt,ICTS,LA*,34,0.007,8,8,1
instances_high_agents_high_density\test_18.txt,ICTS,LA*,31,0.007,11,16,5
instances_high_agents_high_density\test_19.txt,ICTS,LA*,37,0.027,14,23,10
instances_high_agents_high_density\test_2.txt,ICTS,LA*,34,12.961,452,802,300
instances_high_agents_high_density\test_20.txt,ICTS,LA*,35,0.009,9,9,1
instances_high_agents_high_density\test_21.txt,ICTS,LA*,23,0.012,12,15,4
instances_high_agents_high_density\test_22.txt,ICTS,LA*,49,0.086,20,39,15
instances_high_agents_high_density\test_23.txt,ICTS,LA*,26,0.013,16,24,9
instances_high_agents_high_density\test_24.txt,ICTS,LA*,65,1.486,115,237,80
instances_high_agents_high_density\test_3.txt,ICTS,LA*,38,0.075,43,68,19
instances_high_agents_high_density\test_4.txt,ICTS,LA*,37,0.011,12,15,4
instances_high_agents_high_density\test_5.txt,ICTS,LA*,31,0.281,85,190,86
instances_high_agents_high_density\test_6.txt,ICTS,LA*,33,0.013,9,9,1
instances_high_agents_high_density\test_7.txt,ICTS,LA*,36,0.01,8,8,1
instances_high_agents_high_density\test_8.txt,ICTS,LA*,36,0.023,21,38,16
instances_high_agents_high_density\test_9.txt,ICTS,LA*,33,0.006,8,8,1
instances_high_agents_high_density\test_0.txt,ICTS,AL*,32,0.068,9,11,3
instances_high_agents_high_density\test_1.txt,ICTS,AL*,44,0.249,10,12,3
instances_high_agents_high_density\test_10.txt,ICTS,AL*,48,1.343,137,229,77
instances_high_agents_high_density\test_11.txt,ICTS,AL*,50,0.848,118,239,111
instances_high_agents_high_density\test_12.txt,ICTS,AL*,24,0.094,7,7,1
instances_high_agents_high_density\test_13.txt,ICTS,AL*,57,115.77,879,1217,275
instances_high_agents_high_density\test_14.txt,ICTS,AL*,43,1.342,66,121,41
instances_high_agents_high_density\test_15.txt,ICTS,AL*,33,0.143,10,12,3
instances_high_agents_high_density\test_16.txt,ICTS,AL*,40,44.889,1039,1688,515
instances_high_agents_high_density\test_17.txt,ICTS,AL*,34,0.263,8,8,1
instances_high_agents_high_density\test_18.txt,ICTS,AL*,31,0.192,11,16,5
instances_high_agents_high_density\test_19.txt,ICTS,AL*,37,0.419,14,23,10
instances_high_agents_high_density\test_2.txt,ICTS,AL*,34,19.048,452,802,300
instances_high_agents_high_density\test_20.txt,ICTS,AL*,35,0.405,9,9,1
instances_high_agents_high_density\test_21.txt,ICTS,AL*,23,0.179,12,15,4
instances_high_agents_high_density\test_22.txt,ICTS,AL*,49,0.669,20,39,15
instances_high_agents_high_density\test_23.txt,ICTS,AL*,26,0.135,16,24,9
instances_high_agents_high_density\test_24.txt,ICTS,AL*,65,3.265,115,237,80
instances_high_agents_high_density\test_3.txt,ICTS,AL*,38,0.356,43,68,19
instances_high_agents_high_density\test_4.txt,ICTS,AL*,37,0.156,12,15,4
instances_high_agents_high_density\test_5.txt,ICTS,AL*,31,0.88,85,190,86
instances_high_agents_high_density\test_6.txt,ICTS,AL*,33,0.407,9,9,1
instances_high_agents_high_density\test_7.txt,ICTS,AL*,36,0.323,8,8,1
instances_high_agents_high_density\test_8.txt,ICTS,AL*,36,0.284,21,38,16
instances_high_agents_high_density\test_9.txt,ICTS,AL*,33,0.257,8,8,1
instances_high_agents_high_density\test_0.txt,ICTS,IDA*,32,0.009,9,11,3
instances_high_agents_high_density\test_1.txt,ICTS,IDA*,44,0.022,10,12,3
instances_high_agents_high_density\test_10.txt,ICTS,IDA*,48,1.645,137,229,77
instances_high_agents_high_density\test_11.txt,ICTS,IDA*,50,0.928,118,239,111
instances_high_agents_high_density\test_12.txt,ICTS,IDA*,24,0.006,7,7,1
instances_high_agents_high_density\test_13.txt,ICTS,IDA*,57,104.66,879,1217,275
instances_high_agents_high_density\test_14.txt,ICTS,IDA*,43,0.954,66,121,41
instances_high_agents_high_density\test_15.txt,ICTS,IDA*,33,0.018,10,12,3
instances_high_agents_high_density\test_16.txt,ICTS,IDA*,40,40.591,1039,1688,515
instances_high_agents_high_density\test_17.txt,ICTS,IDA*,34,0.008,8,8,1
instances_high_agents_high_density\test_18.txt,ICTS,IDA*,31,0.013,11,16,5
instances_high_agents_high_density\test_19.txt,ICTS,IDA*,37,0.051,14,23,10
instances_high_agents_high_density\test_2.txt,ICTS,IDA*,34,20.213,452,802,300
instances_high_agents_high_density\test_20.txt,ICTS,IDA*,35,0.021,9,9,1
instances_high_agents_high_density\test_21.txt,ICTS,IDA*,23,0.032,12,15,4
instances_high_agents_high_density\test_22.txt,ICTS,IDA*,49,0.159,20,39,15
instances_high_agents_high_density\test_23.txt,ICTS,IDA*,26,0.023,16,24,9
instances_high_agents_high_density\test_24.txt,ICTS,IDA*,65,2.442,115,237,80
instances_high_agents_high_density\test_3.txt,ICTS,IDA*,38,0.147,43,68,19
instances_high_agents_high_density\test_4.txt,ICTS,IDA*,37,0.023,12,15,4
instances_high_agents_high_density\test_5.txt,ICTS,IDA*,31,0.405,85,190,86
instances_high_agents_high_density\test_6.txt,ICTS,IDA*,33,0.03,9,9,1
instances_high_agents_high_density\test_7.txt,ICTS,IDA*,36,0.017,8,8,1
instances_high_agents_high_density\test_8.txt,ICTS,IDA*,36,0.052,21,38,16
instances_high_agents_high_density\test_9.txt,ICTS,IDA*,33,0.014,8,8,1
