Test Instance,High-Level Solver,Low-Level Solver,Cost,CPU Time,# Expanded,# Generated,# in Open-List at Max
instances_high_agents_low_density\test_0.txt,CBS,A*,30,0.004,2,3,2
instances_high_agents_low_density\test_1.txt,CBS,A*,32,0.003,5,9,5
instances_high_agents_low_density\test_10.txt,CBS,A*,34,0,1,1,1
instances_high_agents_low_density\test_11.txt,CBS,A*,31,0.003,1,1,1
instances_high_agents_low_density\test_12.txt,CBS,A*,26,0.004,3,5,3
instances_high_agents_low_density\test_13.txt,CBS,A*,29,0.002,2,3,2
instances_high_agents_low_density\test_14.txt,CBS,A*,25,0.002,2,3,2
instances_high_agents_low_density\test_15.txt,CBS,A*,38,0.004,4,7,4
instances_high_agents_low_density\test_16.txt,CBS,A*,28,0.008,7,13,7
instances_high_agents_low_density\test_17.txt,CBS,A*,33,0.003,6,11,6
instances_high_agents_low_density\test_18.txt,CBS,A*,36,0.003,3,5,3
instances_high_agents_low_density\test_19.txt,CBS,A*,35,0.012,7,13,7
instances_high_agents_low_density\test_2.txt,CBS,A*,35,0.007,11,21,11
instances_high_agents_low_density\test_20.txt,CBS,A*,32,0,2,3,2
instances_high_agents_low_density\test_21.txt,CBS,A*,43,0.006,8,15,8
instances_high_agents_low_density\test_22.txt,CBS,A*,25,0.001,2,3,2
instances_high_agents_low_density\test_23.txt,CBS,A*,35,0.01,8,15,8
instances_high_agents_low_density\test_24.txt,CBS,A*,39,0.002,4,7,4
instances_high_agents_low_density\test_3.txt,CBS,A*,29,0,1,1,1
instances_high_agents_low_density\test_4.txt,CBS,A*,42,0.01,9,17,9
instances_high_agents_low_density\test_5.txt,CBS,A*,30,0,2,3,2
instances_high_agents_low_density\test_6.txt,CBS,A*,38,0.003,5,9,5
instances_high_agents_low_density\test_7.txt,CBS,A*,36,0.003,2,3,2
instances_high_agents_low_density\test_8.txt,CBS,A*,32,0,3,5,3
instances_high_agents_low_density\test_9.txt,CBS,A*,39,0.003,3,5,3
instances_high_agents_low_density\test_0.txt,CBS,LA*,30,0.002,2,3,2
