Test Instance,High-Level Solver,Low-Level Solver,Cost,CPU Time,# Expanded,# Generated,# in Open-List at Max
instances_low_agents_high_density\test_0.txt,CBS,A*,14,0,2,3,2
instances_low_agents_high_density\test_1.txt,CBS,A*,17,0,1,1,1
instances_low_agents_high_density\test_10.txt,CBS,A*,21,0.01,4,7,4
instances_low_agents_high_density\test_11.txt,CBS,A*,20,0.01,8,15,8
instances_low_agents_high_density\test_12.txt,CBS,A*,6,0,1,1,1
instances_low_agents_high_density\test_13.txt,CBS,A*,24,0.008,7,13,7
instances_low_agents_high_density\test_14.txt,CBS,A*,24,0,1,1,1
instances_low_agents_high_density\test_15.txt,CBS,A*,12,0,2,3,2
instances_low_agents_high_density\test_16.txt,CBS,A*,9,0,1,1,1
instances_low_agents_high_density\test_17.txt,CBS,A*,19,0,1,1,1
instances_low_agents_high_density\test_18.txt,CBS,A*,26,0.001,3,5,3
instances_low_agents_high_density\test_19.txt,CBS,A*,7,0,1,1,1
instances_low_agents_high_density\test_2.txt,CBS,A*,34,0.001,5,9,5
instances_low_agents_high_density\test_20.txt,CBS,A*,18,0.001,1,1,1
instances_low_agents_high_density\test_21.txt,CBS,A*,21,0.014,12,23,12
instances_low_agents_high_density\test_22.txt,CBS,A*,20,0.007,12,23,12
instances_low_agents_high_density\test_23.txt,CBS,A*,23,0.005,3,5,3
instances_low_agents_high_density\test_24.txt,CBS,A*,20,0.003,8,15,8
instances_low_agents_high_density\test_3.txt,CBS,A*,19,0,1,1,1
instances_low_agents_high_density\test_4.txt,CBS,A*,14,0,1,1,1
instances_low_agents_high_density\test_5.txt,CBS,A*,18,0.001,1,1,1
instances_low_agents_high_density\test_6.txt,CBS,A*,8,0,1,1,1
instances_low_agents_high_density\test_7.txt,CBS,A*,24,0,1,1,1
instances_low_agents_high_density\test_8.txt,CBS,A*,21,0.003,4,7,4
instances_low_agents_high_density\test_9.txt,CBS,A*,23,0,2,3,2
instances_low_agents_high_density\test_0.txt,CBS,LA*,14,0,2,3,2
instances_low_agents_high_density\test_1.txt,CBS,LA*,17,0,1,1,1
instances_low_agents_high_density\test_10.txt,CBS,LA*,21,0.019,4,7,4
instances_low_agents_high_density\test_11.txt,CBS,LA*,20,0.015,8,15,8
instances_low_agents_high_density\test_12.txt,CBS,LA*,6,0,1,1,1
instances_low_agents_high_density\test_13.txt,CBS,LA*,24,0.026,7,13,7
instances_low_agents_high_density\test_14.txt,CBS,LA*,24,0.001,1,1,1
instances_low_agents_high_density\test_15.txt,CBS,LA*,12,0.003,2,3,2
instances_low_agents_high_density\test_16.txt,CBS,LA*,9,0,1,1,1
instances_low_agents_high_density\test_17.txt,CBS,LA*,19,0,1,1,1
instances_low_agents_high_density\test_18.txt,CBS,LA*,26,0.004,3,5,3
instances_low_agents_high_density\test_19.txt,CBS,LA*,7,0,1,1,1
instances_low_agents_high_density\test_2.txt,CBS,LA*,34,0.009,5,9,5
instances_low_agents_high_density\test_20.txt,CBS,LA*,18,0.003,1,1,1
instances_low_agents_high_density\test_21.txt,CBS,LA*,21,0.021,12,23,12
instances_low_agents_high_density\test_22.txt,CBS,LA*,20,0.02,12,23,12
