Test Instance,High-Level Solver,Low-Level Solver,Cost,CPU Time,# Expanded,# Generated,# in Open-List at Max
instances_low_agents_low_density\test_0.txt,CBS,A*,19,0,1,1,1
instances_low_agents_low_density\test_1.txt,CBS,A*,14,0,1,1,1
instances_low_agents_low_density\test_10.txt,CBS,A*,10,0,2,3,2
instances_low_agents_low_density\test_11.txt,CBS,A*,24,0.001,3,5,3
instances_low_agents_low_density\test_12.txt,CBS,A*,18,0,1,1,1
instances_low_agents_low_density\test_13.txt,CBS,A*,21,0,1,1,1
instances_low_agents_low_density\test_14.txt,CBS,A*,19,0,1,1,1
instances_low_agents_low_density\test_15.txt,CBS,A*,35,0,1,1,1
instances_low_agents_low_density\test_16.txt,CBS,A*,7,0,1,1,1
instances_low_agents_low_density\test_17.txt,CBS,A*,19,0,1,1,1
instances_low_agents_low_density\test_18.txt,CBS,A*,15,0,2,3,2
instances_low_agents_low_density\test_19.txt,CBS,A*,18,0,3,5,3
instances_low_agents_low_density\test_2.txt,CBS,A*,24,0.001,1,1,1
instances_low_agents_low_density\test_20.txt,CBS,A*,9,0,1,1,1
instances_low_agents_low_density\test_21.txt,CBS,A*,17,0.003,3,5,3
instances_low_agents_low_density\test_22.txt,CBS,A*,20,0,1,1,1
instances_low_agents_low_density\test_23.txt,CBS,A*,22,0,2,3,2
instances_low_agents_low_density\test_24.txt,CBS,A*,8,0,1,1,1
instances_low_agents_low_density\test_3.txt,CBS,A*,19,0,1,1,1
instances_low_agents_low_density\test_4.txt,CBS,A*,9,0,1,1,1
instances_low_agents_low_density\test_5.txt,CBS,A*,19,0,1,1,1
instances_low_agents_low_density\test_6.txt,CBS,A*,22,0.004,4,7,4
instances_low_agents_low_density\test_7.txt,CBS,A*,19,0.003,2,3,2
instances_low_agents_low_density\test_8.txt,CBS,A*,15,0,1,1,1
instances_low_agents_low_density\test_9.txt,CBS,A*,21,0,2,3,2
instances_low_agents_low_density\test_0.txt,CBS,LA*,19,0,1,1,1
instances_low_agents_low_density\test_1.txt,CBS,LA*,14,0,1,1,1
instances_low_agents_low_density\test_10.txt,CBS,LA*,10,0,2,3,2
instances_low_agents_low_density\test_11.txt,CBS,LA*,24,0.005,3,5,3
instances_low_agents_low_density\test_12.txt,CBS,LA*,18,0,1,1,1
instances_low_agents_low_density\test_13.txt,CBS,LA*,21,0,1,1,1
instances_low_agents_low_density\test_14.txt,CBS,LA*,19,0,1,1,1
instances_low_agents_low_density\test_15.txt,CBS,LA*,35,0.001,1,1,1
instances_low_agents_low_density\test_16.txt,CBS,LA*,7,0,1,1,1
instances_low_agents_low_density\test_17.txt,CBS,LA*,19,0,1,1,1
instances_low_agents_low_density\test_18.txt,CBS,LA*,15,0,2,3,2
instances_low_agents_low_density\test_19.txt,CBS,LA*,18,0.006,3,5,3
instances_low_agents_low_density\test_2.txt,CBS,LA*,24,0.001,1,1,1
instances_low_agents_low_density\test_20.txt,CBS,LA*,9,0.003,1,1,1
instances_low_agents_low_density\test_21.txt,CBS,LA*,17,0.006,3,5,3
instances_low_agents_low_density\test_22.txt,CBS,LA*,20,0,1,1,1
instances_low_agents_low_density\test_23.txt,CBS,LA*,22,0.003,2,3,2
instances_low_agents_low_density\test_24.txt,CBS,LA*,8,0,1,1,1
instances_low_agents_low_density\test_3.txt,CBS,LA*,19,0,1,1,1
instances_low_agents_low_density\test_4.txt,CBS,LA*,9,0,1,1,1
instances_low_agents_low_density\test_5.txt,CBS,LA*,19,0,1,1,1
instances_low_agents_low_density\test_6.txt,CBS,LA*,22,0.008,4,7,4
instances_low_agents_low_density\test_7.txt,CBS,LA*,19,0.008,2,3,2
instances_low_agents_low_density\test_8.txt,CBS,LA*,15,0,1,1,1
instances_low_agents_low_density\test_9.txt,CBS,LA*,21,0.006,2,3,2
instances_low_agents_low_density\test_0.txt,CBS,AL*,19,0.054,1,1,1
instances_low_agents_low_density\test_1.txt,CBS,AL*,14,0.08,1,1,1
instances_low_agents_low_density\test_10.txt,CBS,AL*,10,0.133,2,3,2
instances_low_agents_low_density\test_11.txt,CBS,AL*,24,0.92,3,5,3
instances_low_agents_low_density\test_12.txt,CBS,AL*,18,0.416,1,1,1
instances_low_agents_low_density\test_13.txt,CBS,AL*,21,0.427,1,1,1
instances_low_agents_low_density\test_14.txt,CBS,AL*,19,0.314,1,1,1
instances_low_agents_low_density\test_15.txt,CBS,AL*,35,0.295,1,1,1
instances_low_agents_low_density\test_16.txt,CBS,AL*,7,0.101,1,1,1
instances_low_agents_low_density\test_17.txt,CBS,AL*,19,0.258,1,1,1
instances_low_agents_low_density\test_18.txt,CBS,AL*,15,0.439,2,3,2
instances_low_agents_low_density\test_19.txt,CBS,AL*,18,0.969,3,5,3
instances_low_agents_low_density\test_2.txt,CBS,AL*,24,0.329,1,1,1
instances_low_agents_low_density\test_20.txt,CBS,AL*,9,0.071,1,1,1
instances_low_agents_low_density\test_21.txt,CBS,AL*,17,0.779,3,5,3
instances_low_agents_low_density\test_22.txt,CBS,AL*,20,0.33,1,1,1
instances_low_agents_low_density\test_23.txt,CBS,AL*,22,0.845,2,3,2
instances_low_agents_low_density\test_24.txt,CBS,AL*,8,0.079,1,1,1
instances_low_agents_low_density\test_3.txt,CBS,AL*,19,0.354,1,1,1
instances_low_agents_low_density\test_4.txt,CBS,AL*,9,0.104,1,1,1
instances_low_agents_low_density\test_5.txt,CBS,AL*,19,0.483,1,1,1
instances_low_agents_low_density\test_6.txt,CBS,AL*,22,1.302,3,5,3
instances_low_agents_low_density\test_7.txt,CBS,AL*,19,1.464,2,3,2
instances_low_agents_low_density\test_8.txt,CBS,AL*,15,0.254,1,1,1
instances_low_agents_low_density\test_9.txt,CBS,AL*,21,0.881,2,3,2
instances_low_agents_low_density\test_0.txt,CBS,IDA*,19,0.003,2,3,2
instances_low_agents_low_density\test_1.txt,CBS,IDA*,14,0,1,1,1
instances_low_agents_low_density\test_10.txt,CBS,IDA*,10,0,1,1,1
instances_low_agents_low_density\test_11.txt,CBS,IDA*,24,0.912,4,7,4
instances_low_agents_low_density\test_12.txt,CBS,IDA*,18,0.003,1,1,1
instances_low_agents_low_density\test_13.txt,CBS,IDA*,21,0,1,1,1
instances_low_agents_low_density\test_14.txt,CBS,IDA*,19,0.004,2,3,2
instances_low_agents_low_density\test_15.txt,CBS,IDA*,35,0,1,1,1
instances_low_agents_low_density\test_16.txt,CBS,IDA*,7,0,1,1,1
instances_low_agents_low_density\test_17.txt,CBS,IDA*,19,0,1,1,1
instances_low_agents_low_density\test_18.txt,CBS,IDA*,15,0.005,4,7,4
instances_low_agents_low_density\test_19.txt,CBS,IDA*,18,0.004,3,5,3
instances_low_agents_low_density\test_2.txt,CBS,IDA*,24,0,2,3,2
instances_low_agents_low_density\test_20.txt,CBS,IDA*,9,0.001,1,1,1
instances_low_agents_low_density\test_21.txt,CBS,IDA*,17,0,2,3,2
instances_low_agents_low_density\test_22.txt,CBS,IDA*,20,0.007,2,3,2
instances_low_agents_low_density\test_23.txt,CBS,IDA*,22,0.003,2,3,2
instances_low_agents_low_density\test_24.txt,CBS,IDA*,8,0.001,1,1,1
instances_low_agents_low_density\test_3.txt,CBS,IDA*,19,0,1,1,1
instances_low_agents_low_density\test_4.txt,CBS,IDA*,9,0,1,1,1
instances_low_agents_low_density\test_5.txt,CBS,IDA*,19,0,1,1,1
instances_low_agents_low_density\test_6.txt,CBS,IDA*,22,0.343,4,7,4
instances_low_agents_low_density\test_7.txt,CBS,IDA*,19,0.107,3,5,3
instances_low_agents_low_density\test_8.txt,CBS,IDA*,15,0,1,1,1
instances_low_agents_low_density\test_9.txt,CBS,IDA*,21,0.001,1,1,1
instances_low_agents_low_density\test_0.txt,ICTS,A*,19,0.007,3,3,1
instances_low_agents_low_density\test_1.txt,ICTS,A*,14,0.006,3,3,1
instances_low_agents_low_density\test_10.txt,ICTS,A*,10,0.006,4,4,1
instances_low_agents_low_density\test_11.txt,ICTS,A*,24,0.081,7,9,3
instances_low_agents_low_density\test_12.txt,ICTS,A*,18,0.017,3,3,1
instances_low_agents_low_density\test_13.txt,ICTS,A*,21,0.016,3,3,1
instances_low_agents_low_density\test_14.txt,ICTS,A*,19,0.036,4,4,1
instances_low_agents_low_density\test_15.txt,ICTS,A*,35,0.054,3,3,1
instances_low_agents_low_density\test_16.txt,ICTS,A*,7,0.006,3,3,1
instances_low_agents_low_density\test_17.txt,ICTS,A*,19,0.012,3,3,1
instances_low_agents_low_density\test_18.txt,ICTS,A*,15,0.025,6,8,3
instances_low_agents_low_density\test_19.txt,ICTS,A*,18,0.056,7,11,5
instances_low_agents_low_density\test_2.txt,ICTS,A*,24,0.019,3,3,1
instances_low_agents_low_density\test_20.txt,ICTS,A*,9,0.005,3,3,1
instances_low_agents_low_density\test_21.txt,ICTS,A*,17,0.039,5,5,1
instances_low_agents_low_density\test_22.txt,ICTS,A*,20,0.014,3,3,1
instances_low_agents_low_density\test_23.txt,ICTS,A*,22,0.053,4,4,1
instances_low_agents_low_density\test_24.txt,ICTS,A*,8,0.007,3,3,1
instances_low_agents_low_density\test_3.txt,ICTS,A*,19,0.033,4,4,1
instances_low_agents_low_density\test_4.txt,ICTS,A*,9,0.004,3,3,1
instances_low_agents_low_density\test_5.txt,ICTS,A*,19,0.024,3,3,1
instances_low_agents_low_density\test_6.txt,ICTS,A*,22,0.029,7,9,3
instances_low_agents_low_density\test_7.txt,ICTS,A*,19,0.033,4,4,1
instances_low_agents_low_density\test_8.txt,ICTS,A*,15,0.009,3,3,1
instances_low_agents_low_density\test_9.txt,ICTS,A*,21,0.027,4,4,1
instances_low_agents_low_density\test_0.txt,ICTS,LA*,19,0.014,3,3,1
instances_low_agents_low_density\test_1.txt,ICTS,LA*,14,0.01,3,3,1
instances_low_agents_low_density\test_10.txt,ICTS,LA*,10,0.008,4,4,1
instances_low_agents_low_density\test_11.txt,ICTS,LA*,24,0.077,7,9,3
instances_low_agents_low_density\test_12.txt,ICTS,LA*,18,0.025,3,3,1
instances_low_agents_low_density\test_13.txt,ICTS,LA*,21,0.017,3,3,1
instances_low_agents_low_density\test_14.txt,ICTS,LA*,19,0.034,4,4,1
instances_low_agents_low_density\test_15.txt,ICTS,LA*,35,0.057,3,3,1
instances_low_agents_low_density\test_16.txt,ICTS,LA*,7,0.003,3,3,1
instances_low_agents_low_density\test_17.txt,ICTS,LA*,19,0.01,3,3,1
instances_low_agents_low_density\test_18.txt,ICTS,LA*,15,0.029,6,8,3
instances_low_agents_low_density\test_19.txt,ICTS,LA*,18,0.054,7,11,5
instances_low_agents_low_density\test_2.txt,ICTS,LA*,24,0.022,3,3,1
instances_low_agents_low_density\test_20.txt,ICTS,LA*,9,0.007,3,3,1
instances_low_agents_low_density\test_21.txt,ICTS,LA*,17,0.029,5,5,1
instances_low_agents_low_density\test_22.txt,ICTS,LA*,20,0.02,3,3,1
